Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,61,0.471617719
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,56,0.528754295
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,39,0.714098532
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,46,0.602835236
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,29,0.886043525
Acal1m1n3r3,A,cal,1,1,3,r,3,0.065,Acal1m1n3,30,0.866432744
Acal1m2n5d1,A,cal,1,2,5,d,1,0.087,Acal1m2n5,23,1.099057128
Acal1m2n5d2,A,cal,1,2,5,d,2,0.089,Acal1m2n5,23,1.138547802
Acal1m2n5d3,A,cal,1,2,5,d,3,0.092,Acal1m2n5,24,1.060024663
Acal1m2n5r1,A,cal,1,2,5,r,1,0.074,Acal1m2n5,18,1.244080478
Acal1m2n5r2,A,cal,1,2,5,r,2,0.091,Acal1m2n5,20,1.06668671
Acal1m2n5r3,A,cal,1,2,5,r,3,0.079,Acal1m2n5,14,1.677908105
Dcal1m2n1d1,D,cal,1,2,1,d,1,0.086,Dcal1m2n1,19,1.39863338
Dcal1m2n1d2,D,cal,1,2,1,d,2,0.075,Dcal1m2n1,19,1.423736099
Dcal1m2n1d3,D,cal,1,2,1,d,3,0.11,Dcal1m2n1,17,1.432990117
Dcal1m2n1r1,D,cal,1,2,1,r,1,0.095,Dcal1m2n1,26,1.029567901
Dcal1m2n1r2,D,cal,1,2,1,r,2,0.1,Dcal1m2n1,19,1.39437558
Dcal1m2n1r3,D,cal,1,2,1,r,3,0.095,Dcal1m2n1,15,1.543825361
Dcal1m2n3d1,D,cal,1,2,3,d,1,0.054,Dcal1m2n3,24,1.04520508
Dcal1m2n3d2,D,cal,1,2,3,d,2,0.02,Dcal1m2n3,51,0.560870159
Dcal1m2n3d3,D,cal,1,2,3,d,3,0.058,Dcal1m2n3,18,1.326493292
Dcal1m2n3r1,D,cal,1,2,3,r,1,0.029,Dcal1m2n3,39,0.686141253
Dcal1m2n3r2,D,cal,1,2,3,r,2,0.058,Dcal1m2n3,28,0.917939565
Dcal1m2n3r3,D,cal,1,2,3,r,3,0.057,Dcal1m2n3,17,1.363452903
Ecal1m1n3d1,E,cal,1,1,3,d,1,0.081,Ecal1m1n3,20,1.140211464
Ecal1m1n3d2,E,cal,1,1,3,d,2,0.108,Ecal1m1n3,11,1.935088135
Ecal1m1n3d3,E,cal,1,1,3,d,3,0.09,Ecal1m1n3,16,1.510510848
Ecal1m1n3r1,E,cal,1,1,3,r,1,0.057,Ecal1m1n3,17,1.458573378
Ecal1m1n3r2,E,cal,1,1,3,r,2,0.111,Ecal1m1n3,18,1.33514841
Ecal1m1n3r3,E,cal,1,1,3,r,3,0.109,Ecal1m1n3,22,1.157699844
Ecal1m2n2d1,E,cal,1,2,2,d,1,0.061,Ecal1m2n2,19,1.308619806
Ecal1m2n2d2,E,cal,1,2,2,d,2,0.058,Ecal1m2n2,24,1.132284848
Ecal1m2n2d3,E,cal,1,2,2,d,3,0.061,Ecal1m2n2,19,1.306808766
Ecal1m2n2r1,E,cal,1,2,2,r,1,0.079,Ecal1m2n2,25,1.0458234
Ecal1m2n2r2,E,cal,1,2,2,r,2,0.072,Ecal1m2n2,30,0.808438501
Ecal1m2n2r3,E,cal,1,2,2,r,3,0.112,Ecal1m2n2,14,1.61451884
Fcal1m1n5d1,F,cal,1,1,5,d,1,0.028,Fcal1m1n5,25,1.087279106
Fcal1m1n5d2,F,cal,1,1,5,d,2,0.058,Fcal1m1n5,28,0.926578331
Fcal1m1n5d3,F,cal,1,1,5,d,3,0.043,Fcal1m1n5,14,1.659710373
Fcal1m1n5r1,F,cal,1,1,5,r,1,0.068,Fcal1m1n5,15,1.415839082
Fcal1m1n5r2,F,cal,1,1,5,r,2,0.067,Fcal1m1n5,16,1.408277315
Fcal1m1n5r3,F,cal,1,1,5,r,3,0.085,Fcal1m1n5,13,1.586471711
Fcal1m2n1d1,F,cal,1,2,1,d,1,0.09,Fcal1m2n1,15,1.543032908
Fcal1m2n1d2,F,cal,1,2,1,d,2,0.096,Fcal1m2n1,19,1.308982739
Fcal1m2n1d3,F,cal,1,2,1,d,3,0.09,Fcal1m2n1,14,1.604445509
