Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Velocity_Vals_m_sec,Data_Index
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.249713684,1
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.358106965,2
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.347363213,3
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.320510337,4
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.34568834,5
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.386967645,6
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.357650029,7
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.375716787,8
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.394952288,9
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.379986081,10
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.379471916,11
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.406635915,12
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.392880128,13
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.396144673,14
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.412061606,15
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.378689755,16
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.407270471,17
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.398505002,18
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.401931821,19
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.425087395,20
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.388008048,21
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.4387292,22
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.421679018,23
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.376286712,24
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.475886834,25
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.401602012,26
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.337798909,27
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.510878037,28
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.425691766,29
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.45264217,30
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.450592836,31
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.455846968,32
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.461756909,33
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.480231343,34
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.491935175,35
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.45467611,36
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.482480793,37
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.497287505,38
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.504164243,39
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.501393812,40
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.529234995,41
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.532906929,42
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.506122469,43
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.548831428,44
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.518605335,45
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.560853041,46
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.519191678,47
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.557714684,48
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.58007833,49
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.565196848,50
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.558259089,51
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.566092858,52
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.592871337,53
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.592270873,54
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.604389319,55
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.666722451,56
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.560795982,57
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.660146624,58
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.54124239,59
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.666043713,60
Acal1m1n3d1,A,cal,1,1,3,d,1,0.039,Acal1m1n3,0.816208017,61
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.298878801,1
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.561137286,2
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.535331896,3
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.47837062,4
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.54628564,5
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.467932665,6
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.529650876,7
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.509157391,8
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.503801455,9
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.55608032,10
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.51211668,11
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.467252037,12
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.546622311,13
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.518980933,14
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.471686127,15
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.556167537,16
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.4896088,17
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.488111758,18
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.534021977,19
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.547166326,20
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.504184368,21
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.459772011,22
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.562297946,23
Acal1m1n3d2,A,cal,1,1,3,d,2,0.024,Acal1m1n3,0.482619811,24
