Video_Code,Set,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec,Species,Pappus_base_width_f,Pappus_tip_width_f,Achene_tip_width_f,Achene_mid_width_f,Achene_length_lin_f,Achene_twopt_length_f,Achene_twopt_angle_f,Achene_max_width_f,Pappus_perp_max_length_f,Pappus_base_width_s,Pappus_tip_width_s,Achene_tip_width_s,Achene_mid_width_s,Achene_length_lin_s,Achene_twopt_length_s,Achene_twopt_angle_s,Achene_max_width_s,Pappus_perp_max_length_s,pappus_tip_area,Achene.twopt.angle.dev.max,pap.tip.cyp.max.area.ratio,pap.tip.pap.base.area.ratio,Pap.len.ach.len.ratio,pap.tip.ecc,coneSA
Acal1m1n3d1,A,1,1,3,d,1,0.039,Acal1m1n3,61,0.471617719,L. californica,0.261,1.472,0.12,0.318,1.359,1.385,176.653,0.318,2.067,0.218,1.131,0.202,0.279,1.369,1.406,154.686,0.337,2.256,1.3075559951653868,25.313999999999993,15.535076423492523,29.25993883792049,1.584677419354839,0.6400390376568577,0.5161249682193604
Acal1m1n3d3,A,1,1,3,d,3,0.041,Acal1m1n3,39,0.714098532,L. californica,0.235,1.33,0.145,0.264,1.51,1.506,174.967,0.262,2.194,0.263,1.358,0.204,0.356,1.581,1.586,171.624,0.393,2.222,1.4185390388387609,8.376000000000005,17.54113008177457,29.223202006310174,1.4286638628275639,0.20201977260067483,0.6069140136621746
Acal1m1n3r1,A,1,1,3,r,1,0.028,Acal1m1n3,46,0.602835236,L. californica,0.256,1.033,0.149,0.325,1.488,1.497,177.51,0.314,1.657,0.212,2.884,0.242,0.369,1.512,1.545,158.311,0.396,1.866,2.3398362172452565,21.688999999999993,23.959113427266285,54.89335200471697,1.1743333333333335,0.9336513706289641,0.5542174013290364
Acal1m1n3r3,A,1,1,3,r,3,0.065,Acal1m1n3,30,0.866432744,L. californica,0.251,1.059,0.145,0.263,1.386,1.4,166.869,0.306,1.685,0.226,1.087,0.136,0.252,1.383,1.466,161.429,0.3,1.622,0.9040977440262543,18.570999999999998,12.539575163398693,20.292863942460244,1.1942939689418564,0.22550923432412165,0.5209495494483098
Acal1m2n5d1,A,1,2,5,d,1,0.087,Acal1m2n5,23,1.099057128,L. californica,0.101,0.517,0.077,0.104,0.64,0.64,177.615,0.129,0.875,0.29,1.9,0.218,0.366,1.58,1.599,177.663,0.41,2.051,0.7714966159053642,2.384999999999991,18.572508980903763,33.53704335950836,1.3180180180180179,0.9622674917930943,0.36191861971258804
Acal1m2n5d2,A,1,2,5,d,2,0.089,Acal1m2n5,23,1.138547802,L. californica,0.263,1.335,0.186,0.254,1.526,1.524,169.425,0.268,1.968,0.229,0.895,0.18,0.322,1.521,1.539,175.125,0.36,1.936,0.938413360581418,10.574999999999989,12.38417288557214,19.83869360917861,1.2812602559894979,0.7419890634930212,0.5913072536007592
Acal1m2n5d3,A,1,2,5,d,3,0.092,Acal1m2n5,24,1.060024663,L. californica,0.258,1.414,0.211,0.325,1.57,1.539,174.212,0.384,2.151,0.259,1.43,0.205,0.324,1.559,1.58,172.209,0.36,2.125,1.5880907943530127,7.790999999999997,14.626880787037035,30.259794678399324,1.3665707893895813,0.14917249371718488,0.6374313328849717
Acal1m2n5r2,A,1,2,5,r,2,0.091,Acal1m2n5,20,1.06668671,L. californica,0.252,0.686,0.209,0.312,1.494,1.489,171.952,0.339,1.913,0.264,0.908,0.203,0.287,1.456,1.456,169.775,0.323,1.977,0.4892150912023421,10.224999999999994,5.6886307387417006,9.362794612794614,1.31864406779661,0.6551410270887006,0.6001269801342964
Acal1m2n5r3,A,1,2,5,r,3,0.079,Acal1m2n5,14,1.677908105,L. californica,0.23,1.279,0.121,0.281,1.413,1.406,176.194,0.29,1.951,0.248,1.011,0.175,0.306,1.394,1.388,172.562,0.35,1.878,1.0155740177462418,7.437999999999988,12.7395960591133,22.669512622720895,1.3640897755610972,0.6125119888946468,0.528990994134577
Afre1m2n1d1,A,1,2,1,d,1,0.053,Afre1m2n1,18,1.28782666,L. fremontii,0.254,0.379,0.109,0.215,1.003,1.016,178.647,0.248,1.431,0.291,0.737,0.113,0.304,0.99,1.012,169.246,0.342,1.41,0.2193797711946799,10.75399999999999,3.293281927938125,3.7790269772979412,1.4254892122428502,0.8576421616362228,0.43097214266098754
