Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Video_Code,Set_Number,Video_Type,Lower_Rows,Upper_Rows,Lower_Cols,Upper_Cols,Pixels_mm,Video_Number,Notes
A,cal,1,1,3,d,1,Acal1m1n3d1,2,Q4,1,1280,1,470,40.5,1,twice as many frames?
A,cal,1,1,3,d,2,Acal1m1n3d2,2,Q4,1,1280,1,450,39.5,2,
A,cal,1,1,3,d,3,Acal1m1n3d3,2,Q4,1,1280,1,450,40.25,3,
A,cal,1,1,3,r,1,Acal1m1n3r1,2,Q4,1,1280,1,440,41,4,
A,cal,1,1,3,r,2,Acal1m1n3r2,2,Q4,1,1280,1,420,42.5,5,
A,cal,1,1,3,r,3,Acal1m1n3r3,2,Q4,1,1280,1,440,41.5,6,
A,cal,1,2,5,d,1,Acal1m2n5d1,2,Q4,1,1280,1,430,40,7,
A,cal,1,2,5,d,2,Acal1m2n5d2,2,Q4,1,1280,1,430,40,8,
A,cal,1,2,5,d,3,Acal1m2n5d3,2,Q4,1,1280,1,440,41.17,9,
A,cal,1,2,5,r,1,Acal1m2n5r1,2,Q4,1,1280,1,430,40.75,10,
A,cal,1,2,5,r,2,Acal1m2n5r2,2,Q4,1,1280,1,430,40.67,11,
A,cal,1,2,5,r,3,Acal1m2n5r3,2,Q4,1,1280,1,440,39.33,12,
A,fre,1,2,1,d,1,Afre1m2n1d1,2,Q4,1,1280,1,440,40,13,
A,fre,1,2,1,d,2,Afre1m2n1d2,2,Q4,1,1280,1,440,39.75,14,
A,fre,1,2,1,d,3,Afre1m2n1d3,2,Q4,1,1280,1,460,39.34,15,
A,fre,1,2,1,r,1,Afre1m2n1r1,2,Q4,1,1280,1,440,40.76,16,
A,fre,1,2,1,r,2,Afre1m2n1r2,2,Q4,1,1280,1,450,41.05,17,
A,fre,1,2,1,r,3,Afre1m2n1r3,2,Q4,1,1280,1,450,43.01,18,
A,fre,1,2,5,d,1,Afre1m2n5d1,2,Q4,1,1280,1,440,40.67,19,
A,fre,1,2,5,d,2,Afre1m2n5d2,2,Q4,1,1280,1,440,39.5,20,
A,fre,1,2,5,d,3,Afre1m2n5d3,2,Q4,1,1280,1,440,39.17,21,
A,fre,1,2,5,r,1,Afre1m2n5r1,2,Q4,1,1280,1,440,39,22,
A,fre,1,2,5,r,2,Afre1m2n5r2,2,Q4,1,1280,1,440,40.17,23,
A,fre,1,2,5,r,3,Afre1m2n5r3,2,Q4,1,1280,1,450,39.34,24,
B,fre,2,1,5,d,1,Bfre2m1n5d1,1,Q4,1,1280,1,440,42.503,25,
B,fre,2,1,5,d,2,Bfre2m1n5d2,1,Q4,1,1280,1,440,45,26,
B,fre,2,1,5,d,3,Bfre2m1n5d3,1,Q4,1,1280,1,440,41,27,
B,fre,2,1,5,r,1,Bfre2m1n5r1,1,Q4,1,1280,1,440,43.33,28,
B,fre,2,1,5,r,2,Bfre2m1n5r2,1,Q4,1,1280,1,440,41.5,29,
B,fre,2,1,5,r,3,Bfre2m1n5r3,1,Q4,1,1280,1,440,40.51,30,
B,fre,2,2,4,d,1,Bfre2m2n4d1,1,Q4,1,1280,1,440,42,31,
B,fre,2,2,4,d,2,Bfre2m2n4d2,1,Q4,1,1280,1,440,40,32,
B,fre,2,2,4,d,3,Bfre2m2n4d3,1,Q4,1,1280,1,440,41.5,33,
B,fre,2,2,4,r,1,Bfre2m2n4r1,1,Q4,1,1280,1,440,42.34,34,
B,fre,2,2,4,r,2,Bfre2m2n4r2,1,Q4,1,1280,1,440,41.03,35,
B,fre,2,2,4,r,3,Bfre2m2n4r3,1,Q4,1,1280,1,460,39.5,36,
B,gla,1,2,2,d,1,Bgla1m2n2d1,1,Q4,1,1280,1,440,41.5,37,
B,gla,1,2,2,d,2,Bgla1m2n2d2,1,Q4,1,1280,1,440,44.5,38,
B,gla,1,2,2,d,3,Bgla1m2n2d3,1,Q4,1,1280,1,440,39.01,39,
B,gla,1,2,4,d,1,Bgla1m2n4d1,1,Q4,1,1280,1,440,46.01,40,
B,gla,1,2,4,d,2,Bgla1m2n4d2,1,Q4,1,1280,1,440,42.5,41,
B,gla,1,2,4,d,3,Bgla1m2n4d3,1,Q4,1,1280,1,440,44.5,42,
C,gla,1,1,1,d,1,Cgla1m1n1d1,2,Q4,1,1280,1,440,40.34,43,
C,gla,1,1,1,d,2,Cgla1m1n1d2,2,Q4,1,1280,1,440,40.25,44,
C,gla,1,1,1,d,3,Cgla1m1n1d3,2,Q4,1,1280,1,440,42.5,45,
C,gla,2,2,1,d,1,Cgla2m2n1d1,2,Q4,1,1280,1,450,39.67,46,
C,gla,2,2,1,d,2,Cgla2m2n1d2,2,Q4,1,1280,1,440,42.25,47,
C,gla,2,2,1,d,3,Cgla2m2n1d3,2,Q4,1,1280,1,440,41.5,48,
D,cal,1,2,1,d,1,Dcal1m2n1d1,3,Q4,1,1280,1,440,38,49,
D,cal,1,2,1,d,2,Dcal1m2n1d2,3,Q4,1,1280,1,440,37.33,50,
D,cal,1,2,1,d,3,Dcal1m2n1d3,3,Q4,1,1280,1,440,39.5,51,
D,cal,1,2,1,r,1,Dcal1m2n1r1,3,Q4,1,1280,1,440,39.67,52,
D,cal,1,2,1,r,2,Dcal1m2n1r2,3,Q4,1,1280,1,440,39,53,
D,cal,1,2,1,r,3,Dcal1m2n1r3,3,Q4,1,1280,1,440,40.67,54,
D,cal,1,2,3,d,1,Dcal1m2n3d1,3,Q4,1,1280,1,440,41.17,55,
D,cal,1,2,3,d,2,Dcal1m2n3d2,3,Q4,1,1280,1,440,40,56,
D,cal,1,2,3,d,3,Dcal1m2n3d3,3,Q4,1,1280,1,440,40,57,
D,cal,1,2,3,r,1,Dcal1m2n3r1,3,Q4,1,1280,1,440,39.33,58,
D,cal,1,2,3,r,2,Dcal1m2n3r2,3,Q4,1,1280,1,440,39.25,59,
D,cal,1,2,3,r,3,Dcal1m2n3r3,3,Q4,1,1280,1,440,39,60,
D,fre,1,1,4,d,1,Dfre1m1n4d1,1,Q4,1,1280,1,450,42.34,61,
D,fre,1,1,4,d,2,Dfre1m1n4d2,1,Q4,1,1280,1,440,39.5,62,
D,fre,1,1,4,d,3,Dfre1m1n4d3,1,Q4,1,1280,1,440,40.51,63,
D,fre,1,1,4,r,1,Dfre1m1n4r1,1,Q4,1,1280,1,440,42.01,64,
D,fre,1,1,4,r,2,Dfre1m1n4r2,1,Q4,1,1280,1,440,39.34,65,
D,fre,1,1,4,r,3,Dfre1m1n4r3,1,Q4,1,1280,1,440,40,66,
D,fre,1,1,5,d,1,Dfre1m1n5d1,1,Q4,1,1280,1,440,42.67,67,
D,fre,1,1,5,d,2,Dfre1m1n5d2,1,Q4,1,1280,1,440,40.5,68,
D,fre,1,1,5,d,3,Dfre1m1n5d3,1,Q4,1,1280,1,440,43,69,
D,fre,1,1,5,r,1,Dfre1m1n5r1,1,Q4,1,1280,1,440,41.503,70,
D,fre,1,1,5,r,2,Dfre1m1n5r2,1,Q4,1,1280,1,440,41,71,
D,fre,1,1,5,r,3,Dfre1m1n5r3,1,Q4,1,1280,1,440,43.33,72,
D,gla,1,1,2,d,1,Dgla1m1n2d1,2,Q4,1,1280,1,440,41.34,73,
D,gla,1,1,2,d,2,Dgla1m1n2d2,2,Q4,1,1280,1,440,41.63,74,
D,gla,1,1,2,d,3,Dgla1m1n2d3,2,Q4,1,1280,1,440,40.5,75,
D,gla,1,2,4,d,1,Dgla1m2n4d1,2,Q4,1,1280,1,440,39.5,76,
D,gla,1,2,4,d,2,Dgla1m2n4d2,2,Q4,1,1280,1,440,40.01,77,
D,gla,1,2,4,d,3,Dgla1m2n4d3,2,Q4,1,1280,1,440,42.83,78,
E,cal,1,1,3,d,1,Ecal1m1n3d1,2,Q4,1,1280,1,440,41.88,79,
E,cal,1,1,3,d,2,Ecal1m1n3d2,2,Q4,1,1280,1,440,40.13,80,
E,cal,1,1,3,d,3,Ecal1m1n3d3,2,Q4,1,1280,1,440,40,81,
E,cal,1,1,3,r,1,Ecal1m1n3r1,2,Q4,1,1280,1,440,38.75,82,
E,cal,1,1,3,r,2,Ecal1m1n3r2,2,Q4,1,1280,1,440,40.33,83,
E,cal,1,1,3,r,3,Ecal1m1n3r3,2,Q4,1,1280,1,440,40,84,
E,cal,1,2,2,d,1,Ecal1m2n2d1,2,Q4,1,1280,1,440,39.5,85,
E,cal,1,2,2,d,2,Ecal1m2n2d2,2,Q4,1,1280,1,440,38.83,86,
E,cal,1,2,2,d,3,Ecal1m2n2d3,2,Q4,1,1280,1,440,40.38,87,
E,cal,1,2,2,r,1,Ecal1m2n2r1,2,Q4,1,1280,1,440,39.5,88,
E,cal,1,2,2,r,2,Ecal1m2n2r2,2,Q4,1,1280,1,450,41.17,89,
E,cal,1,2,2,r,3,Ecal1m2n2r3,2,Q4,1,1280,1,450,41.34,90,
E,gla,1,1,2,d,1,Egla1m1n2d1,3,Q4,1,1280,1,440,37.75,91,
E,gla,1,1,2,d,2,Egla1m1n2d2,3,Q4,1,1280,1,440,38.67,92,
E,gla,1,1,2,d,3,Egla1m1n2d3,3,Q4,1,1280,1,440,38.5,93,
E,gla,1,1,4,d,1,Egla1m1n4d1,3,Q4,1,1280,1,440,40.27,94,
E,gla,1,1,4,d,2,Egla1m1n4d2,3,Q4,1,1280,1,440,39.35,95,
E,gla,1,1,4,d,3,Egla1m1n4d3,3,Q4,1,1280,1,440,38.88,96,
F,cal,1,1,5,d,1,Fcal1m1n5d1,1,Q4,1,1280,1,450,38.51,97,
F,cal,1,1,5,d,2,Fcal1m1n5d2,1,Q4,1,1280,1,450,40.01,98,
F,cal,1,1,5,d,3,Fcal1m1n5d3,1,Q4,1,1280,1,450,38.5,99,
F,cal,1,1,5,r,1,Fcal1m1n5r1,1,Q4,1,1280,1,450,42,100,
F,cal,1,1,5,r,2,Fcal1m1n5r2,1,Q4,1,1280,1,450,39.5,101,
F,cal,1,1,5,r,3,Fcal1m1n5r3,1,Q4,1,1280,1,450,41,102,
F,cal,1,2,1,d,1,Fcal1m2n1d1,1,Q4,1,1280,1,450,40,103,
F,cal,1,2,1,d,2,Fcal1m2n1d2,1,Q4,1,1280,1,450,40.5,104,
F,cal,1,2,1,d,3,Fcal1m2n1d3,1,Q4,1,1280,1,450,42.67,105,
F,cal,1,2,1,r,1,Fcal1m2n1r1,1,Q4,1,1280,1,450,40,106,
F,cal,1,2,1,r,2,Fcal1m2n1r2,1,Q4,1,1280,1,450,40.67,107,
F,cal,1,2,1,r,3,Fcal1m2n1r3,1,Q4,1,1280,1,450,39.67,108,
F,fre,1,1,4,d,1,Ffre1m1n4d1,3,Q4,1,1280,1,440,37.5,109,
F,fre,1,1,4,d,2,Ffre1m1n4d2,3,Q4,1,1280,1,440,38.33,110,
F,fre,1,1,4,d,3,Ffre1m1n4d3,3,Q4,1,1280,1,440,40,111,
F,fre,1,1,4,r,1,Ffre1m1n4r1,3,Q4,1,1280,1,440,38,112,
F,fre,1,1,4,r,2,Ffre1m1n4r2,3,Q4,1,1280,1,440,38.67,113,
F,fre,1,1,4,r,3,Ffre1m1n4r3,3,Q4,1,1280,1,440,37.83,114,
F,fre,1,2,3,d,1,Ffre1m2n3d1,3,Q4,1,1280,1,440,37.5,115,
F,fre,1,2,3,d,2,Ffre1m2n3d2,3,Q4,1,1280,1,440,40.25,116,
F,fre,1,2,3,d,3,Ffre1m2n3d3,3,Q4,1,1280,1,440,42.13,117,
F,fre,1,2,3,r,1,Ffre1m2n3r1,3,Q4,1,1280,1,440,41.67,118,
F,fre,1,2,3,r,2,Ffre1m2n3r2,3,Q4,1,1280,1,440,39.5,119,
F,fre,1,2,3,r,3,Ffre1m2n3r3,3,Q4,1,1280,1,440,39.75,120,
G,cal,1,1,4,d,1,Gcal1m1n4d1,1,Q4,1,1280,1,450,43.5,121,
G,cal,1,1,4,d,2,Gcal1m1n4d2,1,Q4,1,1280,1,450,39.67,122,
G,cal,1,1,4,d,3,Gcal1m1n4d3,1,Q4,1,1280,1,450,41.67,123,
G,cal,1,1,4,r,1,Gcal1m1n4r1,1,Q4,1,1280,1,450,42.01,124,
G,cal,1,1,4,r,2,Gcal1m1n4r2,1,Q4,1,1280,1,450,42,125,
G,cal,1,1,4,r,3,Gcal1m1n4r3,1,Q4,1,1280,10,450,40.67,126,
G,cal,1,2,5,d,1,Gcal1m2n5d1,1,Q4,1,1280,1,440,39.75,127,
G,cal,1,2,5,d,2,Gcal1m2n5d2,1,Q4,1,1280,1,440,37.75,128,
G,cal,1,2,5,d,3,Gcal1m2n5d3,1,Q4,1,1280,1,440,40.67,129,
G,cal,1,2,5,r,1,Gcal1m2n5r1,1,Q4,1,1280,1,440,42.67,130,
G,cal,1,2,5,r,2,Gcal1m2n5r2,1,Q4,1,1280,1,440,40.5,131,
G,cal,1,2,5,r,3,Gcal1m2n5r3,1,Q4,1,1280,1,440,39.33,132,
G,fre,1,1,1,d,1,Gfre1m1n1d1,2,Q4,1,1280,1,440,42,133,
G,fre,1,1,1,d,2,Gfre1m1n1d2,2,Q4,1,1280,1,440,40.5,134,
G,fre,1,1,1,d,3,Gfre1m1n1d3,2,Q4,1,1280,1,440,42.67,135,
G,fre,1,1,1,r,1,Gfre1m1n1r1,2,Q4,1,1280,1,440,41.67,136,
G,fre,1,1,1,r,2,Gfre1m1n1r2,2,Q4,1,1280,1,440,43.67,137,
G,fre,1,1,1,r,3,Gfre1m1n1r3,2,Q4,1,1280,1,440,43.33,138,
G,fre,1,2,4,d,1,Gfre1m2n4d1,2,Q4,1,1280,1,440,41,139,
G,fre,1,2,4,d,2,Gfre1m2n4d2,2,Q4,1,1280,1,440,41.5,140,
G,fre,1,2,4,d,3,Gfre1m2n4d3,2,Q4,1,1280,1,440,42.84,141,
G,fre,1,2,4,r,1,Gfre1m2n4r1,2,Q4,1,1280,1,440,42.5,142,
G,fre,1,2,4,r,2,Gfre1m2n4r2,2,Q4,1,1280,1,440,40.25,143,
G,fre,1,2,4,r,3,Gfre1m2n4r3,2,Q4,1,1280,1,440,42,144,
G,gla,1,1,4,d,1,Ggla1m1n4d1,1,Q4,1,1280,1,440,41.67,145,
G,gla,1,1,4,d,2,Ggla1m1n4d2,1,Q4,1,1280,1,440,41.67,146,
G,gla,1,1,4,d,3,Ggla1m1n4d3,1,Q4,1,1280,1,440,41,147,
G,gla,1,1,5,d,1,Ggla1m1n5d1,1,Q4,1,1280,1,440,40,148,
G,gla,1,1,5,d,2,Ggla1m1n5d2,1,Q4,1,1280,1,440,40.5,149,
G,gla,1,1,5,d,3,Ggla1m1n5d3,1,Q4,1,1280,1,440,39.35,150,
H,cal,1,1,1,d,1,Hcal1m1n1d1,3,Q4,1,1280,1,440,40.25,151,
H,cal,1,1,1,d,2,Hcal1m1n1d2,3,Q4,1,1280,1,440,40.5,152,
H,cal,1,1,1,d,3,Hcal1m1n1d3,3,Q4,1,1280,1,440,41.25,153,
H,cal,1,1,1,r,1,Hcal1m1n1r1,3,Q4,1,1280,1,440,39.5,154,
