Full ID,Species,Measurement type,Length
AcalT1M2,cal,Full Length Main Branch,130.827
AcalT1M2,cal,Full Length Branch 2,NA
AcalT1M2,cal,Full Length Branch 3,NA
AcalT1M2,cal,Full Length Branch 4,NA
AcalT1M2,cal,Full Length Branch 5,NA
AcalT1M2,cal,Full Length Branch 6,NA
AcalT1M2,cal,Full Length Branch 7,NA
AcalT2M2,cal,Full Length Main Branch,137.741
AcalT2M2,cal,Full Length Branch 2,NA
AcalT2M2,cal,Full Length Branch 3,NA
AcalT2M2,cal,Full Length Branch 4,NA
AcalT2M2,cal,Full Length Branch 5,NA
AcalT2M2,cal,Full Length Branch 6,NA
AcalT2M2,cal,Full Length Branch 7,NA
AfreT2M1,fre,Full Length Main Branch,197.031
AfreT2M1,fre,Full Length Branch 2,NA
AfreT2M1,fre,Full Length Branch 3,NA
AfreT2M1,fre,Full Length Branch 4,NA
AfreT2M1,fre,Full Length Branch 5,NA
AfreT2M1,fre,Full Length Branch 6,NA
AfreT2M1,fre,Full Length Branch 7,NA
AglaT1M3,gla,Full Length Main Branch,356.495
AglaT1M3,gla,Full Length Branch 2,343.1
AglaT1M3,gla,Full Length Branch 3,NA
AglaT1M3,gla,Full Length Branch 4,NA
AglaT1M3,gla,Full Length Branch 5,NA
AglaT1M3,gla,Full Length Branch 6,NA
AglaT1M3,gla,Full Length Branch 7,NA
BcalT2M2,cal,Full Length Main Branch,222.984
BcalT2M2,cal,Full Length Branch 2,NA
BcalT2M2,cal,Full Length Branch 3,NA
BcalT2M2,cal,Full Length Branch 4,NA
BcalT2M2,cal,Full Length Branch 5,NA
BcalT2M2,cal,Full Length Branch 6,NA
BcalT2M2,cal,Full Length Branch 7,NA
BfreT1M2,fre,Full Length Main Branch,161.952
BfreT1M2,fre,Full Length Branch 2,NA
BfreT1M2,fre,Full Length Branch 3,NA
BfreT1M2,fre,Full Length Branch 4,NA
BfreT1M2,fre,Full Length Branch 5,NA
BfreT1M2,fre,Full Length Branch 6,NA
BfreT1M2,fre,Full Length Branch 7,NA
BglaT2M2,gla,Full Length Main Branch,242.747
BglaT2M2,gla,Full Length Branch 2,233.764
BglaT2M2,gla,Full Length Branch 3,NA
BglaT2M2,gla,Full Length Branch 4,NA
BglaT2M2,gla,Full Length Branch 5,NA
BglaT2M2,gla,Full Length Branch 6,NA
BglaT2M2,gla,Full Length Branch 7,NA
BglaT2M3,gla,Full Length Main Branch,202.705
BglaT2M3,gla,Full Length Branch 2,220.112
BglaT2M3,gla,Full Length Branch 3,NA
BglaT2M3,gla,Full Length Branch 4,NA
BglaT2M3,gla,Full Length Branch 5,NA
BglaT2M3,gla,Full Length Branch 6,NA
BglaT2M3,gla,Full Length Branch 7,NA
CcalT1M2,cal,Full Length Main Branch,176.106
CcalT1M2,cal,Full Length Branch 2,151.182
CcalT1M2,cal,Full Length Branch 3,148.144
CcalT1M2,cal,Full Length Branch 4,NA
CcalT1M2,cal,Full Length Branch 5,NA
CcalT1M2,cal,Full Length Branch 6,NA
CcalT1M2,cal,Full Length Branch 7,NA
CcalT1M3,cal,Full Length Main Branch,181.296
CcalT1M3,cal,Full Length Branch 2,NA
CcalT1M3,cal,Full Length Branch 3,NA
CcalT1M3,cal,Full Length Branch 4,NA
CcalT1M3,cal,Full Length Branch 5,NA
CcalT1M3,cal,Full Length Branch 6,NA
CcalT1M3,cal,Full Length Branch 7,NA
CcalT2M1,cal,Full Length Main Branch,149.912
CcalT2M1,cal,Full Length Branch 2,NA
CcalT2M1,cal,Full Length Branch 3,NA
CcalT2M1,cal,Full Length Branch 4,NA
CcalT2M1,cal,Full Length Branch 5,NA
CcalT2M1,cal,Full Length Branch 6,NA
CcalT2M1,cal,Full Length Branch 7,NA
CfreT1M1,fre,Full Length Main Branch,164.71
CfreT1M1,fre,Full Length Branch 2,NA
CfreT1M1,fre,Full Length Branch 3,NA
CfreT1M1,fre,Full Length Branch 4,NA
CfreT1M1,fre,Full Length Branch 5,NA
CfreT1M1,fre,Full Length Branch 6,NA
CfreT1M1,fre,Full Length Branch 7,NA
CfreT2M2,fre,Full Length Main Branch,146.046
CfreT2M2,fre,Full Length Branch 2,NA
CfreT2M2,fre,Full Length Branch 3,NA
CfreT2M2,fre,Full Length Branch 4,NA
CfreT2M2,fre,Full Length Branch 5,NA
CfreT2M2,fre,Full Length Branch 6,NA
CfreT2M2,fre,Full Length Branch 7,NA
CfreT2M3,fre,Full Length Main Branch,139.267
CfreT2M3,fre,Full Length Branch 2,138.086
CfreT2M3,fre,Full Length Branch 3,129.467
CfreT2M3,fre,Full Length Branch 4,NA
CfreT2M3,fre,Full Length Branch 5,NA
CfreT2M3,fre,Full Length Branch 6,NA
CfreT2M3,fre,Full Length Branch 7,NA
CglaT1M1,gla,Full Length Main Branch,241.114
CglaT1M1,gla,Full Length Branch 2,NA
CglaT1M1,gla,Full Length Branch 3,NA
CglaT1M1,gla,Full Length Branch 4,NA
CglaT1M1,gla,Full Length Branch 5,NA
CglaT1M1,gla,Full Length Branch 6,NA
CglaT1M1,gla,Full Length Branch 7,NA
CglaT1M2,gla,Full Length Main Branch,192.41
CglaT1M2,gla,Full Length Branch 2,NA
CglaT1M2,gla,Full Length Branch 3,NA
CglaT1M2,gla,Full Length Branch 4,NA
CglaT1M2,gla,Full Length Branch 5,NA
CglaT1M2,gla,Full Length Branch 6,NA
CglaT1M2,gla,Full Length Branch 7,NA
CglaT2M2,gla,Full Length Main Branch,225.502
CglaT2M2,gla,Full Length Branch 2,NA
CglaT2M2,gla,Full Length Branch 3,NA
CglaT2M2,gla,Full Length Branch 4,NA
CglaT2M2,gla,Full Length Branch 5,NA
CglaT2M2,gla,Full Length Branch 6,NA
CglaT2M2,gla,Full Length Branch 7,NA
DcalT1M2,cal,Full Length Main Branch,106.834
DcalT1M2,cal,Full Length Branch 2,NA
DcalT1M2,cal,Full Length Branch 3,NA
DcalT1M2,cal,Full Length Branch 4,NA
DcalT1M2,cal,Full Length Branch 5,NA
DcalT1M2,cal,Full Length Branch 6,NA
DcalT1M2,cal,Full Length Branch 7,NA
DcalT2M1,cal,Full Length Main Branch,160.314
DcalT2M1,cal,Full Length Branch 2,123.606
DcalT2M1,cal,Full Length Branch 3,NA
DcalT2M1,cal,Full Length Branch 4,NA
DcalT2M1,cal,Full Length Branch 5,NA
DcalT2M1,cal,Full Length Branch 6,NA
DcalT2M1,cal,Full Length Branch 7,NA
DcalT2M2,cal,Full Length Main Branch,150.166
DcalT2M2,cal,Full Length Branch 2,NA
DcalT2M2,cal,Full Length Branch 3,NA
DcalT2M2,cal,Full Length Branch 4,NA
DcalT2M2,cal,Full Length Branch 5,NA
DcalT2M2,cal,Full Length Branch 6,NA
DcalT2M2,cal,Full Length Branch 7,NA
DcalT2M3,cal,Full Length Main Branch,113.884
DcalT2M3,cal,Full Length Branch 2,NA
DcalT2M3,cal,Full Length Branch 3,NA
DcalT2M3,cal,Full Length Branch 4,NA
DcalT2M3,cal,Full Length Branch 5,NA
DcalT2M3,cal,Full Length Branch 6,NA
DcalT2M3,cal,Full Length Branch 7,NA
DfreT1M1,fre,Full Length Main Branch,147.534
DfreT1M1,fre,Full Length Branch 2,NA
DfreT1M1,fre,Full Length Branch 3,NA
DfreT1M1,fre,Full Length Branch 4,NA
DfreT1M1,fre,Full Length Branch 5,NA
DfreT1M1,fre,Full Length Branch 6,NA
DfreT1M1,fre,Full Length Branch 7,NA
DfreT1M2,fre,Full Length Main Branch,190.627
DfreT1M2,fre,Full Length Branch 2,NA
DfreT1M2,fre,Full Length Branch 3,NA
DfreT1M2,fre,Full Length Branch 4,NA
DfreT1M2,fre,Full Length Branch 5,NA
DfreT1M2,fre,Full Length Branch 6,NA
DfreT1M2,fre,Full Length Branch 7,NA
DglaT1M2,gla,Full Length Main Branch,266.053
DglaT1M2,gla,Full Length Branch 2,249.734
DglaT1M2,gla,Full Length Branch 3,238.397
DglaT1M2,gla,Full Length Branch 4,208.393
DglaT1M2,gla,Full Length Branch 5,277.759
DglaT1M2,gla,Full Length Branch 6,303.958
DglaT1M2,gla,Full Length Branch 7,280.275
DglaT2M2,gla,Full Length Main Branch,266.29
DglaT2M2,gla,Full Length Branch 2,246.894
DglaT2M2,gla,Full Length Branch 3,NA
DglaT2M2,gla,Full Length Branch 4,NA
DglaT2M2,gla,Full Length Branch 5,NA
DglaT2M2,gla,Full Length Branch 6,NA
DglaT2M2,gla,Full Length Branch 7,NA
EcalT1M1,cal,Full Length Main Branch,154.871
EcalT1M1,cal,Full Length Branch 2,NA
EcalT1M1,cal,Full Length Branch 3,NA
EcalT1M1,cal,Full Length Branch 4,NA
EcalT1M1,cal,Full Length Branch 5,NA
EcalT1M1,cal,Full Length Branch 6,NA
EcalT1M1,cal,Full Length Branch 7,NA
EcalT1M2,cal,Full Length Main Branch,109.079
EcalT1M2,cal,Full Length Branch 2,NA
EcalT1M2,cal,Full Length Branch 3,NA
EcalT1M2,cal,Full Length Branch 4,NA
EcalT1M2,cal,Full Length Branch 5,NA
EcalT1M2,cal,Full Length Branch 6,NA
EcalT1M2,cal,Full Length Branch 7,NA
EcalT2M1,cal,Full Length Main Branch,107.429
EcalT2M1,cal,Full Length Branch 2,NA
EcalT2M1,cal,Full Length Branch 3,NA
EcalT2M1,cal,Full Length Branch 4,NA
EcalT2M1,cal,Full Length Branch 5,NA
EcalT2M1,cal,Full Length Branch 6,NA
EcalT2M1,cal,Full Length Branch 7,NA
EcalT2M3,cal,Full Length Main Branch,99.348
EcalT2M3,cal,Full Length Branch 2,NA
EcalT2M3,cal,Full Length Branch 3,NA
EcalT2M3,cal,Full Length Branch 4,NA
EcalT2M3,cal,Full Length Branch 5,NA
EcalT2M3,cal,Full Length Branch 6,NA
EcalT2M3,cal,Full Length Branch 7,NA
EfreT1M2,fre,Full Length Main Branch,141.059
EfreT1M2,fre,Full Length Branch 2,NA
EfreT1M2,fre,Full Length Branch 3,NA
EfreT1M2,fre,Full Length Branch 4,NA
EfreT1M2,fre,Full Length Branch 5,NA
EfreT1M2,fre,Full Length Branch 6,NA
EfreT1M2,fre,Full Length Branch 7,NA
EfreT1M3,fre,Full Length Main Branch,208.332
EfreT1M3,fre,Full Length Branch 2,NA
EfreT1M3,fre,Full Length Branch 3,NA
EfreT1M3,fre,Full Length Branch 4,NA
EfreT1M3,fre,Full Length Branch 5,NA
EfreT1M3,fre,Full Length Branch 6,NA
EfreT1M3,fre,Full Length Branch 7,NA
EglaT1M1,gla,Full Length Main Branch,197.591
EglaT1M1,gla,Full Length Branch 2,238.893
EglaT1M1,gla,Full Length Branch 3,228.34
EglaT1M1,gla,Full Length Branch 4,218.426
EglaT1M1,gla,Full Length Branch 5,NA
EglaT1M1,gla,Full Length Branch 6,NA
EglaT1M1,gla,Full Length Branch 7,NA
EglaT2M3,gla,Full Length Main Branch,177.643
EglaT2M3,gla,Full Length Branch 2,185.838
EglaT2M3,gla,Full Length Branch 3,NA
EglaT2M3,gla,Full Length Branch 4,NA
EglaT2M3,gla,Full Length Branch 5,NA
EglaT2M3,gla,Full Length Branch 6,NA
EglaT2M3,gla,Full Length Branch 7,NA
FcalT1M1,cal,Full Length Main Branch,91.513
FcalT1M1,cal,Full Length Branch 2,NA
FcalT1M1,cal,Full Length Branch 3,NA
FcalT1M1,cal,Full Length Branch 4,NA
FcalT1M1,cal,Full Length Branch 5,NA
FcalT1M1,cal,Full Length Branch 6,NA
FcalT1M1,cal,Full Length Branch 7,NA
FcalT1M2,cal,Full Length Main Branch,105.794
FcalT1M2,cal,Full Length Branch 2,NA
FcalT1M2,cal,Full Length Branch 3,NA
FcalT1M2,cal,Full Length Branch 4,NA
FcalT1M2,cal,Full Length Branch 5,NA
FcalT1M2,cal,Full Length Branch 6,NA
FcalT1M2,cal,Full Length Branch 7,NA
FcalT1M3,cal,Full Length Main Branch,99.448
FcalT1M3,cal,Full Length Branch 2,134.965
FcalT1M3,cal,Full Length Branch 3,144.811
FcalT1M3,cal,Full Length Branch 4,NA
FcalT1M3,cal,Full Length Branch 5,NA
FcalT1M3,cal,Full Length Branch 6,NA
FcalT1M3,cal,Full Length Branch 7,NA
FfreT1M3,fre,Full Length Main Branch,207.571
FfreT1M3,fre,Full Length Branch 2,NA
FfreT1M3,fre,Full Length Branch 3,NA
FfreT1M3,fre,Full Length Branch 4,NA
FfreT1M3,fre,Full Length Branch 5,NA
FfreT1M3,fre,Full Length Branch 6,NA
FfreT1M3,fre,Full Length Branch 7,NA
GcalT1M3,cal,Full Length Main Branch,166.414
GcalT1M3,cal,Full Length Branch 2,NA
GcalT1M3,cal,Full Length Branch 3,NA
GcalT1M3,cal,Full Length Branch 4,NA
GcalT1M3,cal,Full Length Branch 5,NA
GcalT1M3,cal,Full Length Branch 6,NA
GcalT1M3,cal,Full Length Branch 7,NA
GcalT2M1,cal,Full Length Main Branch,161.583
GcalT2M1,cal,Full Length Branch 2,NA
GcalT2M1,cal,Full Length Branch 3,NA
GcalT2M1,cal,Full Length Branch 4,NA
GcalT2M1,cal,Full Length Branch 5,NA
GcalT2M1,cal,Full Length Branch 6,NA
GcalT2M1,cal,Full Length Branch 7,NA
GfreT2M1,fre,Full Length Main Branch,134.236
GfreT2M1,fre,Full Length Branch 2,NA
GfreT2M1,fre,Full Length Branch 3,NA
GfreT2M1,fre,Full Length Branch 4,NA
GfreT2M1,fre,Full Length Branch 5,NA
GfreT2M1,fre,Full Length Branch 6,NA
GfreT2M1,fre,Full Length Branch 7,NA
