species,hub,transect,mom,neighbour,PlantID,Total branch length
L. californica,A,1,1,1,AcalT1M1N1,123.02
L. californica,A,1,2,1,AcalT1M2N1,182.92
L. californica,A,1,3,1,AcalT1M3N1,235.32
L. californica,A,2,1,1,AcalT2M1N1,NA
L. californica,A,2,2,1,AcalT2M2N1,158.94
L. californica,A,2,3,1,AcalT2M3N1,118.31
L. californica,B,1,1,1,BcalT1M1N1,152.23
L. californica,B,1,2,1,BcalT1M2N1,113.53
L. californica,B,1,3,1,BcalT1M3N1,112.1
L. californica,B,2,1,1,BcalT2M1N1,147.83
L. californica,B,2,2,1,BcalT2M2N1,195.92
L. californica,B,2,3,1,BcalT2M3N1,221.8
L. californica,C,1,1,1,CcalT1M1N1,187.92
L. californica,C,1,2,1,CcalT1M2N1,395.33
L. californica,C,1,3,1,CcalT1M3N1,154.85
L. californica,C,2,1,1,CcalT2M1N1,266.55
L. californica,C,2,2,1,CcalT2M2N1,136.81
L. californica,C,2,3,1,CcalT2M3N1,177.57
L. californica,D,1,1,1,DcalT1M1N1,111.81
L. californica,D,1,2,1,DcalT1M2N1,122.22
L. californica,D,1,3,1,DcalT1M3N1,101.48
L. californica,D,2,1,1,DcalT2M1N1,NA
L. californica,D,2,2,1,DcalT2M2N1,226.59
L. californica,D,2,3,1,DcalT2M3N1,185.97
L. californica,E,1,1,1,EcalT1M1N1,156.85
L. californica,E,1,2,1,EcalT1M2N1,118.31
L. californica,E,1,3,1,EcalT1M3N1,142.41
L. californica,E,2,1,1,EcalT2M1N1,137.45
L. californica,E,2,2,1,EcalT2M2N1,NA
L. californica,E,2,3,1,EcalT2M3N1,157.06
L. californica,F,1,1,1,FcalT1M1N1,231.28
L. californica,F,1,2,1,FcalT1M2N1,156.33
L. californica,F,1,3,1,FcalT1M3N1,189.82
L. californica,F,2,1,1,FcalT2M1N1,160.69
L. californica,F,2,2,1,FcalT2M2N1,272.77
L. californica,F,2,3,1,FcalT2M3N1,419.09
L. californica,G,1,1,1,GcalT1M1N1,113.64
L. californica,G,1,2,1,GcalT1M2N1,84.34
L. californica,G,1,3,1,GcalT1M3N1,137.04
L. californica,G,2,1,1,GcalT2M1N1,191.22
L. californica,G,2,2,1,GcalT2M2N1,140.8
L. californica,G,2,3,1,GcalT2M3N1,123.13
L. californica,H,1,1,1,HcalT1M1N1,NA
L. californica,H,1,2,1,HcalT1M2N1,134.68
L. californica,H,1,3,1,HcalT1M3N1,99.83
L. californica,H,2,1,1,HcalT2M1N1,163.39
L. californica,H,2,2,1,HcalT2M2N1,135.84
L. californica,H,2,3,1,HcalT2M3N1,139.87
L. californica,I,1,1,1,IcalT1M1N1,215.55
L. californica,I,1,2,1,IcalT1M2N1,141.39
L. californica,I,1,3,1,IcalT1M3N1,178.53
L. californica,I,2,1,1,IcalT2M1N1,349.93
L. californica,I,2,2,1,IcalT2M2N1,182.85
L. californica,I,2,3,1,IcalT2M3N1,NA
L. californica,J,1,1,1,JcalT1M1N1,113.72
L. californica,J,1,2,1,JcalT1M2N1,353.56
L. californica,J,1,3,1,JcalT1M3N1,NA
L. californica,J,2,1,1,JcalT2M1N1,166.12
L. californica,J,2,2,1,JcalT2M2N1,198.17
L. californica,J,2,3,1,JcalT2M3N1,126.92
L. fremontii,A,1,1,1,AfreT1M1N1,194.15
L. fremontii,A,1,2,1,AfreT1M2N1,NA
L. fremontii,A,1,3,1,AfreT1M3N1,197.19
L. fremontii,A,2,1,1,AfreT2M1N1,187.67
L. fremontii,A,2,2,1,AfreT2M2N1,180.24
L. fremontii,A,2,3,1,AfreT2M3N1,189.13
L. fremontii,B,1,1,1,BfreT1M1N1,236.71
L. fremontii,B,1,2,1,BfreT1M2N1,119.14
L. fremontii,B,1,3,1,BfreT1M3N1,184.7
L. fremontii,B,2,1,1,BfreT2M1N1,111.84
L. fremontii,B,2,2,1,BfreT2M2N1,138.36
L. fremontii,B,2,3,1,BfreT2M3N1,238.62
L. fremontii,C,1,1,1,CfreT1M1N1,NA
L. fremontii,C,1,2,1,CfreT1M2N1,220.38
L. fremontii,C,1,3,1,CfreT1M3N1,159.13
L. fremontii,C,2,1,1,CfreT2M1N1,242.38
L. fremontii,C,2,2,1,CfreT2M2N1,154.6
L. fremontii,C,2,3,1,CfreT2M3N1,236.43
L. fremontii,D,1,1,1,DfreT1M1N1,159.71
L. fremontii,D,1,2,1,DfreT1M2N1,166
L. fremontii,D,1,3,1,DfreT1M3N1,137.28
L. fremontii,D,2,1,1,DfreT2M1N1,249.01
L. fremontii,D,2,2,1,DfreT2M2N1,212.67
L. fremontii,D,2,3,1,DfreT2M3N1,111.24
L. fremontii,E,1,1,1,EfreT1M1N1,171.24
L. fremontii,E,1,2,1,EfreT1M2N1,NA
L. fremontii,E,1,3,1,EfreT1M3N1,172.33
L. fremontii,E,2,1,1,EfreT2M1N1,251.87
L. fremontii,E,2,2,1,EfreT2M2N1,238.47
L. fremontii,E,2,3,1,EfreT2M3N1,239.53
L. fremontii,F,1,1,1,FfreT1M1N1,265.6
L. fremontii,F,1,2,1,FfreT1M2N1,241.95
L. fremontii,F,1,3,1,FfreT1M3N1,104.67
L. fremontii,F,2,1,1,FfreT2M1N1,306.24
L. fremontii,F,2,2,1,FfreT2M2N1,170.17
L. fremontii,F,2,3,1,FfreT2M3N1,802.38
L. fremontii,G,1,1,1,GfreT1M1N1,137.97
L. fremontii,G,1,2,1,GfreT1M2N1,124.43
L. fremontii,G,1,3,1,GfreT1M3N1,161.08
L. fremontii,G,2,1,1,GfreT2M1N1,103.01
L. fremontii,G,2,2,1,GfreT2M2N1,209.58
L. fremontii,G,2,3,1,GfreT2M3N1,129.26
L. fremontii,H,1,1,1,HfreT1M1N1,222.3
L. fremontii,H,1,2,1,HfreT1M2N1,98.41
L. fremontii,H,1,3,1,HfreT1M3N1,152.98
L. fremontii,H,2,1,1,HfreT2M1N1,205.69
L. fremontii,H,2,2,1,HfreT2M2N1,147.87
L. fremontii,H,2,3,1,HfreT2M3N1,345.33
L. fremontii,I,1,1,1,IfreT1M1N1,NA
L. fremontii,I,1,2,1,IfreT1M2N1,174.41
L. fremontii,I,1,3,1,IfreT1M3N1,159.42
L. fremontii,I,2,1,1,IfreT2M1N1,110.3
L. fremontii,I,2,2,1,IfreT2M2N1,90.5
L. fremontii,I,2,3,1,IfreT2M3N1,NA
L. fremontii,J,1,1,1,JfreT1M1N1,155.41
L. fremontii,J,1,2,1,JfreT1M2N1,565.73
L. fremontii,J,1,3,1,JfreT1M3N1,160.28
L. fremontii,J,2,1,1,JfreT2M1N1,159.33
L. fremontii,J,2,2,1,JfreT2M2N1,124.33
L. fremontii,J,2,3,1,JfreT2M3N1,652.81
L. glaberrima,A,1,1,1,AglaT1M1N1,208.36
L. glaberrima,A,1,2,1,AglaT1M2N1,192.28
L. glaberrima,A,1,3,1,AglaT1M3N1,138.09
L. glaberrima,A,2,1,1,AglaT2M1N1,277.25
L. glaberrima,A,2,2,1,AglaT2M2N1,260.33
L. glaberrima,A,2,3,1,AglaT2M3N1,206.24
L. glaberrima,B,1,1,1,BglaT1M1N1,471.24
L. glaberrima,B,1,2,1,BglaT1M2N1,603.37
L. glaberrima,B,1,3,1,BglaT1M3N1,453.72
L. glaberrima,B,2,1,1,BglaT2M1N1,297.36
L. glaberrima,B,2,2,1,BglaT2M2N1,236.06
L. glaberrima,B,2,3,1,BglaT2M3N1,118.65
L. glaberrima,C,1,1,1,CglaT1M1N1,NA
L. glaberrima,C,1,2,1,CglaT1M2N1,NA
L. glaberrima,C,1,3,1,CglaT1M3N1,193.69
L. glaberrima,C,2,1,1,CglaT2M1N1,400.87
L. glaberrima,C,2,2,1,CglaT2M2N1,NA
L. glaberrima,C,2,3,1,CglaT2M3N1,124.89
L. glaberrima,D,1,1,1,DglaT1M1N1,411.93
L. glaberrima,D,1,2,1,DglaT1M2N1,369.68
L. glaberrima,D,1,3,1,DglaT1M3N1,235.96
L. glaberrima,D,2,1,1,DglaT2M1N1,323.73
L. glaberrima,D,2,2,1,DglaT2M2N1,459.71
L. glaberrima,D,2,3,1,DglaT2M3N1,NA
L. glaberrima,E,1,1,1,EglaT1M1N1,1129.12
L. glaberrima,E,1,2,1,EglaT1M2N1,NA
L. glaberrima,E,1,3,1,EglaT1M3N1,716.7
L. glaberrima,E,2,1,1,EglaT2M1N1,429.7
L. glaberrima,E,2,2,1,EglaT2M2N1,439.69
L. glaberrima,E,2,3,1,EglaT2M3N1,273.48
L. glaberrima,F,1,1,1,FglaT1M1N1,557.89
L. glaberrima,F,1,2,1,FglaT1M2N1,297.76
L. glaberrima,F,1,3,1,FglaT1M3N1,NA
L. glaberrima,F,2,1,1,FglaT2M1N1,NA
L. glaberrima,F,2,2,1,FglaT2M2N1,345.18
L. glaberrima,F,2,3,1,FglaT2M3N1,NA
L. glaberrima,G,1,1,1,GglaT1M1N1,169.83
L. glaberrima,G,1,2,1,GglaT1M2N1,225.73
L. glaberrima,G,1,3,1,GglaT1M3N1,157.9
L. glaberrima,G,2,1,1,GglaT2M1N1,285.16
L. glaberrima,G,2,2,1,GglaT2M2N1,253.71
L. glaberrima,G,2,3,1,GglaT2M3N1,350.79
L. glaberrima,H,1,1,1,HglaT1M1N1,544.11
L. glaberrima,H,1,2,1,HglaT1M2N1,1062.44
L. glaberrima,H,1,3,1,HglaT1M3N1,574.31
L. glaberrima,H,2,1,1,HglaT2M1N1,263.1
L. glaberrima,H,2,2,1,HglaT2M2N1,852.47
L. glaberrima,H,2,3,1,HglaT2M3N1,NA
L. glaberrima,I,1,1,1,IglaT1M1N1,399.54
L. glaberrima,I,1,2,1,IglaT1M2N1,541.39
L. glaberrima,I,1,3,1,IglaT1M3N1,135.89
L. glaberrima,I,2,1,1,IglaT2M1N1,820.29
L. glaberrima,I,2,2,1,IglaT2M2N1,307.6
L. glaberrima,I,2,3,1,IglaT2M3N1,239.29
L. glaberrima,J,1,1,1,JglaT1M1N1,439.12
L. glaberrima,J,1,2,1,JglaT1M2N1,346.74
L. glaberrima,J,1,3,1,JglaT1M3N1,389.14
L. glaberrima,J,2,1,1,JglaT2M1N1,605.55
L. glaberrima,J,2,2,1,JglaT2M2N1,481.85
L. glaberrima,J,2,3,1,JglaT2M3N1,416.54
L. californica,A,1,1,2,AcalT1M1N2,155.493
L. californica,A,1,2,2,AcalT1M2N2,251.05
L. californica,A,1,3,2,AcalT1M3N2,206.172
L. californica,A,2,1,2,AcalT2M1N2,110.505
L. californica,A,2,2,2,AcalT2M2N2,305.946
L. californica,A,2,3,2,AcalT2M3N2,110.849
L. californica,B,1,1,2,BcalT1M1N2,145.73
L. californica,B,1,2,2,BcalT1M2N2,127.943
L. californica,B,1,3,2,BcalT1M3N2,255.422
L. californica,B,2,1,2,BcalT2M1N2,121.74
L. californica,B,2,2,2,BcalT2M2N2,280.23
L. californica,B,2,3,2,BcalT2M3N2,209.35
L. californica,C,1,1,2,CcalT1M1N2,201.48
L. californica,C,1,2,2,CcalT1M2N2,181.81
L. californica,C,1,3,2,CcalT1M3N2,NA
L. californica,C,2,1,2,CcalT2M1N2,275.7
L. californica,C,2,2,2,CcalT2M2N2,224.56
L. californica,C,2,3,2,CcalT2M3N2,200.28
L. californica,D,1,1,2,DcalT1M1N2,144.75
L. californica,D,1,2,2,DcalT1M2N2,153.25
