Full ID,SppID,Hub,Transect,Mom,Time,Day,mean_speed_1m,mean_speed_10cm,mean_prop_speed
AcalT1M1,cal,A,1,1,10:02:00,17,4.4,0.8999999999999999,0.20676746212547858
AcalT1M2,cal,A,1,2,14:58:00,8,3.802,0.24000000000000002,0.07354753766427471
AcalT2M1,cal,A,2,1,15:03:00,8,3.558,0.79,0.22106838341002458
AcalT2M2,cal,A,2,2,15:00:00,8,3.944,0.6,0.1468244464504666
AcalT2M3,cal,A,2,3,07:12:00,14,5.73,1.432,0.24787252327904705
AfreT1M1,fre,A,1,1,09:53:00,17,4.86,2.618,0.5392228067394382
AfreT2M1,fre,A,2,1,06:54:00,14,5.134,1.488,0.2941978020242743
AfreT2M3,fre,A,2,3,06:51:00,14,5.726,2.518,0.44965277650409496
AglaT1M2,gla,A,1,2,07:00:00,14,4.264,1.3739999999999999,0.32502587882391676
AglaT1M3,gla,A,1,3,09:56:00,17,3.8400000000000003,1.134,0.2938813630267247
AglaT2M1,gla,A,2,1,07:04:00,14,4.504,1.908,0.43318874117605516
BcalT1M1,cal,B,1,1,08:14:00,14,5.196,1.502,0.2916509814415032
BcalT1M2,cal,B,1,2,08:11:00,14,6.246,1.98,0.3348736835534843
BcalT2M1,cal,B,2,1,08:17:00,14,4.576,1.164,0.2560277621958674
BcalT2M2,cal,B,2,2,15:54:00,8,3.662,1.432,0.39371801118679123
BfreT1M1,fre,B,1,1,16:02:00,8,5.204,1.066,0.20664115887911597
BfreT1M2,fre,B,1,2,15:57:00,8,5.24,1.576,0.3030697556248122
BglaT1M1,gla,B,1,1,10:18:00,17,2.92,0.6,0.21003964130331604
BglaT2M2,gla,B,2,2,10:20:00,17,2.378,1.226,0.5042929058693747
BglaT2M3,gla,B,2,3,09:29:00,5,6.002,3.498,0.6370793521693758
CcalT1M1,cal,C,1,1,11:06:00,17,2.618,0.36,0.12374281146581012
CcalT1M2,cal,C,1,2,11:04:00,17,3.416,0.59,0.16835215514707502
CcalT1M3,cal,C,1,3,11:02:00,5,7.772,0.83,0.10940962439848666
CcalT2M1,cal,C,2,1,09:50:00,14,6.98,1.402,0.20357345306963345
CcalT2M2,cal,C,2,2,09:46:00,14,6.8,1.192,0.17875450786873273
CcalT2M3,cal,C,2,3,09:48:00,14,6.562,1.87,0.27800250681166766
CfreT1M1,fre,C,1,1,10:58:00,5,8.76,1.816,0.21039612845656525
CfreT2M1,fre,C,2,1,10:53:00,5,6.8,1.106,0.16425123925340968
CfreT2M2,fre,C,2,2,10:56:00,5,8.052,1.066,0.1398051076368639
CfreT2M3,fre,C,2,3,10:56:00,17,2.7960000000000003,0.71,0.2464510710194842
CglaT1M1,gla,C,1,1,09:39:00,14,8.846,2.428,0.2972258647449792
CglaT1M2,gla,C,1,2,09:36:00,14,7.212,3.5220000000000002,0.493035811419319
CglaT1M3,gla,C,1,3,09:35:00,14,8.106,2.924,0.3629959709720839
CglaT2M1,gla,C,2,1,11:01:00,17,2.5540000000000003,0.87,0.34142898310605
CglaT2M2,gla,C,2,2,10:59:00,17,1.9020000000000001,0.48,0.2706629547549326
DcalT1M1,cal,D,1,1,15:49:00,8,5.0360000000000005,1.238,0.24143802708294013
DcalT1M2,cal,D,1,2,09:34:00,5,5.484,2.344,0.453091368983101
DcalT1M3,cal,D,1,3,10:24:00,17,3.282,0.888,0.2570438776596451
DcalT2M1,cal,D,2,1,10:26:00,17,3.734,0.63,0.16283676127626642
DcalT2M2,cal,D,2,2,09:41:00,5,7.386,1.796,0.2581526212725563
DcalT2M3,cal,D,2,3,09:38:00,5,6.215999999999999,1.826,0.3017590013304983
DfreT1M1,fre,D,1,1,15:30:00,8,4.368,0.94,0.21709244549983034
DfreT1M2,fre,D,1,2,10:15:00,5,7.316,1.604,0.22039520713078484
DfreT2M1,fre,D,2,1,15:38:00,8,4.746,1.926,0.4196290240306411
DfreT2M2,fre,D,2,2,15:33:00,8,5.346,1.488,0.2839311229286393
DfreT2M3,fre,D,2,3,15:35:00,8,5.7940000000000005,1.8880000000000001,0.3239980414650974
DglaT1M1,gla,D,1,1,07:45:00,14,6.11,2.86,0.47972486485130905
