Full ID,Species,SppID,Hub,Transect,Mom,Wind_speed_1m,Wind_speed_10cm,Time,Day,prop_speed
IcalT1M2,L. californica,cal,I,1,2,5.7,2,09:19:00,5,0.3508771929824561
IcalT1M2,L. californica,cal,I,1,2,6.56,2.18,09:19:00,5,0.3323170731707317
IcalT1M2,L. californica,cal,I,1,2,9.14,2.54,09:19:00,5,0.27789934354485774
IcalT1M2,L. californica,cal,I,1,2,7.25,2.54,09:19:00,5,0.3503448275862069
IcalT1M2,L. californica,cal,I,1,2,6.39,2.18,09:19:00,5,0.34115805946791866
IglaT1M2,L. glaberrima,gla,I,1,2,7.08,1.86,09:13:00,5,0.2627118644067797
IglaT1M2,L. glaberrima,gla,I,1,2,3.94,1.29,09:13:00,5,0.3274111675126904
IglaT1M2,L. glaberrima,gla,I,1,2,4.47,2.36,09:13:00,5,0.5279642058165548
IglaT1M2,L. glaberrima,gla,I,1,2,6.04,2.54,09:13:00,5,0.4205298013245033
IglaT1M2,L. glaberrima,gla,I,1,2,3.42,2,09:13:00,5,0.5847953216374269
DcalT1M2,L. californica,cal,D,1,2,5.7,2.36,09:34:00,5,0.4140350877192982
DcalT1M2,L. californica,cal,D,1,2,4.47,2.71,09:34:00,5,0.6062639821029083
DcalT1M2,L. californica,cal,D,1,2,7.08,1.57,09:34:00,5,0.22175141242937854
DcalT1M2,L. californica,cal,D,1,2,5.87,2.54,09:34:00,5,0.43270868824531517
DcalT1M2,L. californica,cal,D,1,2,4.3,2.54,09:34:00,5,0.5906976744186047
DcalT2M2,L. californica,cal,D,2,2,6.56,1.72,09:41:00,5,0.2621951219512195
DcalT2M2,L. californica,cal,D,2,2,9.48,1.57,09:41:00,5,0.16561181434599156
DcalT2M2,L. californica,cal,D,2,2,7.25,1.72,09:41:00,5,0.23724137931034484
DcalT2M2,L. californica,cal,D,2,2,7.94,1.43,09:41:00,5,0.18010075566750627
DcalT2M2,L. californica,cal,D,2,2,5.7,2.54,09:41:00,5,0.4456140350877193
DcalT2M3,L. californica,cal,D,2,3,5.18,1.72,09:38:00,5,0.33204633204633205
DcalT2M3,L. californica,cal,D,2,3,6.39,1.15,09:38:00,5,0.17996870109546165
DcalT2M3,L. californica,cal,D,2,3,5.18,1.86,09:38:00,5,0.35907335907335913
DcalT2M3,L. californica,cal,D,2,3,8.11,1.86,09:38:00,5,0.22934648581997535
DcalT2M3,L. californica,cal,D,2,3,6.22,2.54,09:38:00,5,0.40836012861736337
DfreT1M2,L. fremontii,fre,D,1,2,8.45,1.72,10:15:00,5,0.20355029585798817
DfreT1M2,L. fremontii,fre,D,1,2,6.56,1.72,10:15:00,5,0.2621951219512195
DfreT1M2,L. fremontii,fre,D,1,2,7.25,1.86,10:15:00,5,0.25655172413793104
DfreT1M2,L. fremontii,fre,D,1,2,7.42,1.43,10:15:00,5,0.192722371967655
DfreT1M2,L. fremontii,fre,D,1,2,6.9,1.29,10:15:00,5,0.18695652173913044
