Full ID,Species,SppID,Hub,Transect,Mom,Pin,Distance,Angle_Comp,Angle_Deg_fromN,Angle_Rad_fromN,Angle_Deg_fromE,Angle_Rad_fromE,Notes
AcalT1M1,L. californica,cal,A,1,1,NA,NA,NA,NA,NA,NA,NA,NA
AcalT1M2,L. californica,cal,A,1,2,1,4.6,7,146.25,2.55,303.75,5.3,
AcalT1M2,L. californica,cal,A,1,2,2,7.4,5,101.25,1.77,168.75,2.95,
AcalT1M2,L. californica,cal,A,1,2,3,10.8,5,101.25,1.77,168.75,2.95,
AcalT1M2,L. californica,cal,A,1,2,4,7.7,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,5,9.05,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,6,8.75,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,7,9.2,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,8,7.35,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,9,11.2,5,101.25,1.77,168.75,2.95,
AcalT1M2,L. californica,cal,A,1,2,10,11.5,5,101.25,1.77,168.75,2.95,
AcalT1M2,L. californica,cal,A,1,2,11,11.4,5,101.25,1.77,168.75,2.95,
AcalT1M2,L. californica,cal,A,1,2,12,11.1,5,101.25,1.77,168.75,2.95,
AcalT1M2,L. californica,cal,A,1,2,13,11.05,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,14,9.7,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,15,10.1,7,146.25,2.55,303.75,5.3,
AcalT1M2,L. californica,cal,A,1,2,16,11.95,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,17,14.45,6,123.75,2.16,326.25,5.69,
AcalT1M2,L. californica,cal,A,1,2,18,11.85,7,146.25,2.55,303.75,5.3,
AcalT1M2,L. californica,cal,A,1,2,19,12.6,7,146.25,2.55,303.75,5.3,
AcalT1M3,L. californica,cal,A,1,3,NA,NA,NA,NA,NA,NA,NA,NA
AcalT2M1,L. californica,cal,A,2,1,NA,NA,NA,NA,NA,NA,NA,NA
AcalT2M2,L. californica,cal,A,2,2,1,1.6,4,78.75,1.37,11.25,0.2,
AcalT2M2,L. californica,cal,A,2,2,2,1.6,6,123.75,2.16,326.25,5.69,
AcalT2M2,L. californica,cal,A,2,2,3,2.6,6,123.75,2.16,326.25,5.69,
AcalT2M2,L. californica,cal,A,2,2,4,2.6,8,168.75,2.95,281.25,4.91,
AcalT2M2,L. californica,cal,A,2,2,5,2.9,11,236.25,4.12,213.75,3.73,
AcalT2M2,L. californica,cal,A,2,2,6,3.2,12,258.75,4.52,191.25,3.34,
AcalT2M2,L. californica,cal,A,2,2,7,3.3,15,326.25,5.69,123.75,2.16,
AcalT2M2,L. californica,cal,A,2,2,8,2.5,1,11.25,0.2,78.75,1.37,
AcalT2M2,L. californica,cal,A,2,2,9,2.2,2,33.75,0.59,56.25,0.98,
AcalT2M2,L. californica,cal,A,2,2,10,9.3,3,56.25,0.98,33.75,0.59,
AcalT2M2,L. californica,cal,A,2,2,11,11.3,4,78.75,1.37,11.25,0.2,
AcalT2M2,L. californica,cal,A,2,2,12,9.8,5,101.25,1.77,168.75,2.95,
AcalT2M2,L. californica,cal,A,2,2,13,7.3,6,123.75,2.16,326.25,5.69,
AcalT2M2,L. californica,cal,A,2,2,14,10,6,123.75,2.16,326.25,5.69,
AcalT2M3,L. californica,cal,A,2,3,NA,NA,NA,NA,NA,NA,NA,NA
AfreT1M1,L. fremontii,fre,A,1,1,NA,NA,NA,NA,NA,NA,NA,NA
AfreT1M2,L. fremontii,fre,A,1,2,NA,NA,NA,NA,NA,NA,NA,NA
AfreT1M3,L. fremontii,fre,A,1,3,NA,NA,NA,NA,NA,NA,NA,NA
AfreT2M1,L. fremontii,fre,A,2,1,1,11.5,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,2,12.65,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,3,11.5,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,4,18.2,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,5,16.8,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,6,16.2,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,7,17.5,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,8,16.25,5,101.25,1.77,168.75,2.95,
AfreT2M1,L. fremontii,fre,A,2,1,9,16.9,4,78.75,1.37,11.25,0.2,
AfreT2M2,L. fremontii,fre,A,2,2,NA,NA,NA,NA,NA,NA,NA,NA
AfreT2M3,L. fremontii,fre,A,2,3,NA,NA,NA,NA,NA,NA,NA,NA
AglaT1M1,L. glaberrima,gla,A,1,1,NA,NA,NA,NA,NA,NA,NA,NA
AglaT1M2,L. glaberrima,gla,A,1,2,NA,NA,NA,NA,NA,NA,NA,NA
AglaT1M3,L. glaberrima,gla,A,1,3,1,5.75,1,11.25,0.2,78.75,1.37,
AglaT1M3,L. glaberrima,gla,A,1,3,2,5.85,2,33.75,0.59,56.25,0.98,
AglaT1M3,L. glaberrima,gla,A,1,3,3,6.7,1,11.25,0.2,78.75,1.37,
AglaT1M3,L. glaberrima,gla,A,1,3,4,7.25,1,11.25,0.2,78.75,1.37,
AglaT1M3,L. glaberrima,gla,A,1,3,5,6.75,16,348.75,6.09,101.25,1.77,
AglaT1M3,L. glaberrima,gla,A,1,3,6,7.55,2,33.75,0.59,56.25,0.98,
AglaT1M3,L. glaberrima,gla,A,1,3,7,8.3,16,348.75,6.09,101.25,1.77,
AglaT2M1,L. glaberrima,gla,A,2,1,NA,NA,NA,NA,NA,NA,NA,NA
AglaT2M2,L. glaberrima,gla,A,2,2,NA,NA,NA,NA,NA,NA,NA,NA
AglaT2M3,L. glaberrima,gla,A,2,3,NA,NA,NA,NA,NA,NA,NA,NA
BcalT1M1,L. californica,cal,B,1,1,NA,NA,NA,NA,NA,NA,NA,NA
BcalT1M2,L. californica,cal,B,1,2,NA,NA,NA,NA,NA,NA,NA,NA
BcalT1M3,L. californica,cal,B,1,3,NA,NA,NA,NA,NA,NA,NA,NA
BcalT2M1,L. californica,cal,B,2,1,NA,NA,NA,NA,NA,NA,NA,NA
BcalT2M2,L. californica,cal,B,2,2,1,14.2,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,2,15.1,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,3,13.75,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,4,14.5,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,5,14.3,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,6,14.25,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,7,15.5,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,8,17.9,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,9,18.35,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,10,16.4,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,11,17,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,12,18.75,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,13,15.35,1,11.25,0.2,78.75,1.37,
BcalT2M2,L. californica,cal,B,2,2,14,16.4,1,11.25,0.2,78.75,1.37,
BcalT2M2,L. californica,cal,B,2,2,15,18.65,1,11.25,0.2,78.75,1.37,
BcalT2M2,L. californica,cal,B,2,2,16,18.85,1,11.25,0.2,78.75,1.37,
BcalT2M2,L. californica,cal,B,2,2,17,21.45,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,18,21.6,2,33.75,0.59,56.25,0.98,
BcalT2M2,L. californica,cal,B,2,2,19,20.5,2,33.75,0.59,56.25,0.98,
BcalT2M3,L. californica,cal,B,2,3,NA,NA,NA,NA,NA,NA,NA,NA
BfreT1M1,L. fremontii,fre,B,1,1,NA,NA,NA,NA,NA,NA,NA,NA
BfreT1M2,L. fremontii,fre,B,1,2,1,7.3,6,123.75,2.16,326.25,5.69,
BfreT1M2,L. fremontii,fre,B,1,2,2,7.95,6,123.75,2.16,326.25,5.69,
BfreT1M2,L. fremontii,fre,B,1,2,3,8.4,6,123.75,2.16,326.25,5.69,
BfreT1M2,L. fremontii,fre,B,1,2,4,8.9,6,123.75,2.16,326.25,5.69,
BfreT1M2,L. fremontii,fre,B,1,2,5,9.7,6,123.75,2.16,326.25,5.69,
BfreT1M2,L. fremontii,fre,B,1,2,6,9.95,7,146.25,2.55,303.75,5.3,
BfreT1M2,L. fremontii,fre,B,1,2,7,10.8,6,123.75,2.16,326.25,5.69,
BfreT1M2,L. fremontii,fre,B,1,2,8,10.4,6,123.75,2.16,326.25,5.69,
BfreT1M2,L. fremontii,fre,B,1,2,9,11.25,7,146.25,2.55,303.75,5.3,
BfreT1M2,L. fremontii,fre,B,1,2,10,10.3,7,146.25,2.55,303.75,5.3,
BfreT1M2,L. fremontii,fre,B,1,2,11,10.85,7,146.25,2.55,303.75,5.3,
BfreT1M2,L. fremontii,fre,B,1,2,12,11,7,146.25,2.55,303.75,5.3,
BfreT1M2,L. fremontii,fre,B,1,2,13,10.55,7,146.25,2.55,303.75,5.3,
BfreT1M3,L. fremontii,fre,B,1,3,NA,NA,NA,NA,NA,NA,NA,NA
BfreT2M1,L. fremontii,fre,B,2,1,NA,NA,NA,NA,NA,NA,NA,NA
BfreT2M2,L. fremontii,fre,B,2,2,NA,NA,NA,NA,NA,NA,NA,NA
BfreT2M3,L. fremontii,fre,B,2,3,NA,NA,NA,NA,NA,NA,NA,NA
BglaT1M1,L. glaberrima,gla,B,1,1,NA,NA,NA,NA,NA,NA,NA,NA
BglaT1M2,L. glaberrima,gla,B,1,2,NA,NA,NA,NA,NA,NA,NA,NA
BglaT1M3,L. glaberrima,gla,B,1,3,NA,NA,NA,NA,NA,NA,NA,NA
BglaT2M1,L. glaberrima,gla,B,2,1,NA,NA,NA,NA,NA,NA,NA,NA
BglaT2M2,L. glaberrima,gla,B,2,2,1,8.55,3,56.25,0.98,33.75,0.59,
