Full ID,Species,SppID,Hub,Transect,Mom,Wind Speed (1m),Wind Speed (10 cm),Time,Day,Notes
IcalT1M2,L. californica,cal,I,1,2,5.70,2.00,9:19 AM,5,
IcalT1M2,L. californica,cal,I,1,2,6.56,2.18,9:19 AM,5,
IcalT1M2,L. californica,cal,I,1,2,9.14,2.54,9:19 AM,5,
IcalT1M2,L. californica,cal,I,1,2,7.25,2.54,9:19 AM,5,
IcalT1M2,L. californica,cal,I,1,2,6.39,2.18,9:19 AM,5,
IglaT1M2,L. glaberrima,gla,I,1,2,7.08,1.86,9:13 AM,5,
IglaT1M2,L. glaberrima,gla,I,1,2,3.94,1.29,9:13 AM,5,
IglaT1M2,L. glaberrima,gla,I,1,2,4.47,2.36,9:13 AM,5,
IglaT1M2,L. glaberrima,gla,I,1,2,6.04,2.54,9:13 AM,5,
IglaT1M2,L. glaberrima,gla,I,1,2,3.42,2.00,9:13 AM,5,
DcalT1M2,L. californica,cal,D,1,2,5.70,2.36,9:34 AM,5,
DcalT1M2,L. californica,cal,D,1,2,4.47,2.71,9:34 AM,5,
DcalT1M2,L. californica,cal,D,1,2,7.08,1.57,9:34 AM,5,
DcalT1M2,L. californica,cal,D,1,2,5.87,2.54,9:34 AM,5,
DcalT1M2,L. californica,cal,D,1,2,4.30,2.54,9:34 AM,5,
DcalT2M2,L. californica,cal,D,2,2,6.56,1.72,9:41 AM,5,
DcalT2M2,L. californica,cal,D,2,2,9.48,1.57,9:41 AM,5,
DcalT2M2,L. californica,cal,D,2,2,7.25,1.72,9:41 AM,5,
DcalT2M2,L. californica,cal,D,2,2,7.94,1.43,9:41 AM,5,
DcalT2M2,L. californica,cal,D,2,2,5.70,2.54,9:41 AM,5,
DcalT2M3,L. californica,cal,D,2,3,5.18,1.72,9:38 AM,5,
DcalT2M3,L. californica,cal,D,2,3,6.39,1.15,9:38 AM,5,
DcalT2M3,L. californica,cal,D,2,3,5.18,1.86,9:38 AM,5,
DcalT2M3,L. californica,cal,D,2,3,8.11,1.86,9:38 AM,5,
DcalT2M3,L. californica,cal,D,2,3,6.22,2.54,9:38 AM,5,
DfreT1M2,L. fremontii,fre,D,1,2,8.45,1.72,10:15 AM,5,
DfreT1M2,L. fremontii,fre,D,1,2,6.56,1.72,10:15 AM,5,
DfreT1M2,L. fremontii,fre,D,1,2,7.25,1.86,10:15 AM,5,
DfreT1M2,L. fremontii,fre,D,1,2,7.42,1.43,10:15 AM,5,
DfreT1M2,L. fremontii,fre,D,1,2,6.90,1.29,10:15 AM,5,
BglaT2M3,L. glaberrima,gla,B,2,3,4.30,4.82,9:29 AM,5,
BglaT2M3,L. glaberrima,gla,B,2,3,4.65,3.06,9:29 AM,5,
BglaT2M3,L. glaberrima,gla,B,2,3,7.42,1.72,9:29 AM,5,
BglaT2M3,L. glaberrima,gla,B,2,3,6.39,4.65,9:29 AM,5,
BglaT2M3,L. glaberrima,gla,B,2,3,7.25,3.24,9:29 AM,5,
FcalT1M1,L. californica,cal,F,1,1,6.39,3.77,10:47 AM,5,
FcalT1M1,L. californica,cal,F,1,1,9.14,2.18,10:47 AM,5,
FcalT1M1,L. californica,cal,F,1,1,5.87,1.72,10:47 AM,5,
FcalT1M1,L. californica,cal,F,1,1,6.56,2.36,10:47 AM,5,
FcalT1M1,L. californica,cal,F,1,1,8.11,1.86,10:47 AM,5,
FcalT1M2,L. californica,cal,F,1,2,10.77,1.43,10:50 AM,5,
FcalT1M2,L. californica,cal,F,1,2,8.62,1.72,10:50 AM,5,
FcalT1M2,L. californica,cal,F,1,2,6.04,2.00,10:50 AM,5,
FcalT1M2,L. californica,cal,F,1,2,5.87,1.86,10:50 AM,5,
FcalT1M2,L. californica,cal,F,1,2,7.59,1.57,10:50 AM,5,
FglaT1M1,L. glaberrima,gla,F,1,1,7.08,1.15,10:32 AM,5,
FglaT1M1,L. glaberrima,gla,F,1,1,5.36,0.80,10:32 AM,5,
FglaT1M1,L. glaberrima,gla,F,1,1,6.57,1.57,10:32 AM,5,
FglaT1M1,L. glaberrima,gla,F,1,1,3.94,1.29,10:32 AM,5,
FglaT1M1,L. glaberrima,gla,F,1,1,7.08,1.57,10:32 AM,5,
CcalT1M3,L. californica,cal,C,1,3,7.76,1.15,11:02 AM,5,
CcalT1M3,L. californica,cal,C,1,3,5.70,0.60,11:02 AM,5,
CcalT1M3,L. californica,cal,C,1,3,8.50,1.00,11:02 AM,5,
CcalT1M3,L. californica,cal,C,1,3,10.00,0.60,11:02 AM,5,
CcalT1M3,L. californica,cal,C,1,3,6.90,0.80,11:02 AM,5,
CfreT1M1,L.fremontii,fre,C,1,1,7.94,1.15,10:58 AM,5,
CfreT1M1,L.fremontii,fre,C,1,1,8.80,1.86,10:58 AM,5,
CfreT1M1,L.fremontii,fre,C,1,1,11.53,2.18,10:58 AM,5,
CfreT1M1,L.fremontii,fre,C,1,1,7.59,2.89,10:58 AM,5,
CfreT1M1,L.fremontii,fre,C,1,1,7.94,1.00,10:58 AM,5,
CfreT2M1,L. fremontii,fre,C,2,1,7.25,1.15,10:53 AM,5,
CfreT2M1,L. fremontii,fre,C,2,1,8.62,1.29,10:53 AM,5,
CfreT2M1,L. fremontii,fre,C,2,1,6.04,0.80,10:53 AM,5,
CfreT2M1,L. fremontii,fre,C,2,1,6.22,1.00,10:53 AM,5,
CfreT2M1,L. fremontii,fre,C,2,1,5.87,1.29,10:53 AM,5,
CfreT2M2,L. fremontii,fre,C,2,2,7.25,1.29,10:56 AM,5,
CfreT2M2,L. fremontii,fre,C,2,2,8.45,1.29,10:56 AM,5,
CfreT2M2,L. fremontii,fre,C,2,2,6.39,1.15,10:56 AM,5,
CfreT2M2,L. fremontii,fre,C,2,2,10.58,0.60,10:56 AM,5,
CfreT2M2,L. fremontii,fre,C,2,2,7.59,1.00,10:56 AM,5,
HcalT1M2,L. californica,cal,H,1,2,5.00,2.36,11:12 AM,5,
HcalT1M2,L. californica,cal,H,1,2,5.18,1.86,11:12 AM,5,
HcalT1M2,L. californica,cal,H,1,2,4.65,2.00,11:12 AM,5,
HcalT1M2,L. californica,cal,H,1,2,7.25,1.86,11:12 AM,5,
HcalT1M2,L. californica,cal,H,1,2,7.08,2.54,11:12 AM,5,
HcalT1M3,L. californica,cal,H,1,3,6.56,1.15,11:15 AM,5,
HcalT1M3,L. californica,cal,H,1,3,4.30,0.80,11:15 AM,5,
HcalT1M3,L. californica,cal,H,1,3,5.53,1.15,11:15 AM,5,
HcalT1M3,L. californica,cal,H,1,3,4.82,1.72,11:15 AM,5,
HcalT1M3,L. californica,cal,H,1,3,6.22,0.80,11:15 AM,5,
HcalT2M2,L. californica,cal,H,2,2,5.36,0.80,11:17 AM,5,
HcalT2M2,L. californica,cal,H,2,2,8.11,1.15,11:17 AM,5,
HcalT2M2,L. californica,cal,H,2,2,6.56,0.80,11:17 AM,5,
HcalT2M2,L. californica,cal,H,2,2,8.48,1.00,11:17 AM,5,
HcalT2M2,L. californica,cal,H,2,2,7.42,1.15,11:17 AM,5,
HfreT2M2,L. fremontii,fre,H,2,2,9.48,1.15,11:23 AM,5,
HfreT2M2,L. fremontii,fre,H,2,2,5.70,0.60,11:23 AM,5,
HfreT2M2,L. fremontii,fre,H,2,2,6.73,0.60,11:23 AM,5,
HfreT2M2,L. fremontii,fre,H,2,2,11.53,0.00,11:23 AM,5,
HfreT2M2,L. fremontii,fre,H,2,2,5.87,1.00,11:23 AM,5,
HglaT1M3,L. glaberrima,gla,H,1,3,5.53,1.57,11:29 AM,5,
HglaT1M3,L. glaberrima,gla,H,1,3,7.25,1.57,11:29 AM,5,
HglaT1M3,L. glaberrima,gla,H,1,3,3.94,2.00,11:29 AM,5,
HglaT1M3,L. glaberrima,gla,H,1,3,6.56,1.43,11:29 AM,5,
HglaT1M3,L. glaberrima,gla,H,1,3,9.14,2.18,11:29 AM,5,
HglaT2M2,L. glaberrima,gla,H,2,2,5.53,1.72,11:32 AM,5,
HglaT2M2,L. glaberrima,gla,H,2,2,7.42,1.29,11:32 AM,5,
HglaT2M2,L. glaberrima,gla,H,2,2,6.04,1.72,11:32 AM,5,
HglaT2M2,L. glaberrima,gla,H,2,2,10.00,2.18,11:32 AM,5,
HglaT2M2,L. glaberrima,gla,H,2,2,7.94,2.00,11:32 AM,5,
EcalT1M2,L. califonica,cal,E,1,2,8.28,1.29,11:08 AM,5,
EcalT1M2,L. califonica,cal,E,1,2,8.80,1.00,11:08 AM,5,
EcalT1M2,L. califonica,cal,E,1,2,8.45,1.15,11:08 AM,5,
EcalT1M2,L. califonica,cal,E,1,2,7.94,1.29,11:08 AM,5,
EcalT1M2,L. califonica,cal,E,1,2,8.62,1.15,11:08 AM,5,
GcalT2M3,L. californica,cal,G,2,3,5.53,0.60,11:45 AM,5,
GcalT2M3,L. californica,cal,G,2,3,6.56,0.20,11:45 AM,5,
GcalT2M3,L. californica,cal,G,2,3,9.31,0.20,11:45 AM,5,
GcalT2M3,L. californica,cal,G,2,3,7.43,0.40,11:45 AM,5,
GcalT2M3,L. californica,cal,G,2,3,7.59,0.60,11:45 AM,5,
GfreT2M1,L. fremontii,fre,G,2,1,5.87,1.00,11:41 AM,5,
GfreT2M1,L. fremontii,fre,G,2,1,4.82,1.43,11:41 AM,5,
GfreT2M1,L. fremontii,fre,G,2,1,5.70,1.29,11:41 AM,5,
GfreT2M1,L. fremontii,fre,G,2,1,5.70,1.29,11:41 AM,5,
GfreT2M1,L. fremontii,fre,G,2,1,7.25,1.00,11:41 AM,5,
AcalT1M2,L. californica,cal,A,1,2,3.59,0.20,2:58 PM,8,
AcalT1M2,L. californica,cal,A,1,2,4.82,0.00,2:58 PM,8,
AcalT1M2,L. californica,cal,A,1,2,3.77,0.20,2:58 PM,8,
AcalT1M2,L. californica,cal,A,1,2,4.47,0.40,2:58 PM,8,
AcalT1M2,L. californica,cal,A,1,2,2.36,0.40,2:58 PM,8,
IcalT2M2,L. californica,cal,I,2,2,3.59,0.80,3:24 PM,8,
IcalT2M2,L. californica,cal,I,2,2,5.36,1.29,3:24 PM,8,
IcalT2M2,L. californica,cal,I,2,2,2.89,1.15,3:24 PM,8,
IcalT2M2,L. californica,cal,I,2,2,4.12,1.29,3:24 PM,8,
IcalT2M2,L. californica,cal,I,2,2,3.59,1.15,3:24 PM,8,
AcalT2M2,L. californica,cal,A,2,2,3.77,0.00,3:00 PM,8,
AcalT2M2,L. californica,cal,A,2,2,3.06,0.40,3:00 PM,8,
