Tube ID,Plant ID,Species,Study,Type,RPM_3_mps,Date_Num,Helper_Initials,Seed_Weight,Total_Y_Distance,Total_X_Distance_zero_mean
G10S2,G10,californica,both,pappus,107,16,RB,0.051,210.18,3.7
G14S2,G14,californica,both,pappus,107,16,RB,0.088,227.31,5.7
G15S2,G15,californica,both,pappus,108,12,KL,0.047,339.38,-0.2
G18S2,G18,californica,both,pappus,107,16,JT,0.078,182.1,1
G19S2,G19,californica,both,pappus,106,13,SH,0.051,239.06,0.8
G21S2,G21,californica,both,pappus,106,12,KL,0.075,203.48,-6.28
G26S2,G26,californica,both,pappus,107,16,JT,0.077,264.34,19.9
G28S2,G28,californica,both,pappus,107,13,RB,0.046,313.3,1.5
G2S2,G2,californica,both,pappus,107,16,RB,0.087,239.76,2.9
G30S2,G30,californica,both,pappus,107,20,PS,0.106,209.38,-24.88
G31S2,G31,californica,both,pappus,106,15,RL,0.093,173.15,2.3
G33S2,G33,californica,both,pappus,107,12,NS,0.103,238.96,5.1
G35S2,G35,californica,both,pappus,107,16,RB,0.047,269.74,-5.88
G36S2,G36,californica,both,pappus,106,13,RB,0.033,286.87,5
G3S2,G3,californica,both,pappus,107,20,PS,0.035,263.44,2.7
G42S2,G42,californica,both,pappus,107,12,KL,0.037,313.5,0.5
G43S2,G43,californica,both,pappus,106,15,RL,0.095,163.05,-5.63
G47S2,G47,californica,both,pappus,107,12,NS,0.069,244.64,-1.28
G4S2,G4,californica,both,pappus,106,12,KL,0.13,208.38,4.5
G51S2,G51,californica,both,pappus,106,15,SH,0.05,298.62,0.9
G55S2,G55,californica,both,pappus,107,15,RL,0.091,181.5,-0.98
G5S2,G5,californica,both,pappus,106,13,RB,0.091,220.56,3.8
G6S2,G6,californica,both,pappus,105,15,SH,0.066,180.4,5.8
G8S2,G8,californica,both,pappus,106,13,SH,0.086,203.08,4
G9S2,G9,californica,both,pappus,106,12,NS,0.093,191.28,3.2
F10S1,F10,californica,main,pappus,107,16,RB,0.129,195.73,-8.98
F10S2,F10,californica,main,pappus,107,16,RB,0.139,165,2.5
F10S3,F10,californica,main,pappus,107,12,NS,0.119,201.88,1.3
F10S4,F10,californica,main,pappus,107,16,RB,0.145,162.35,2.95
F10S5,F10,californica,main,pappus,107,16,JT,0.127,178,-3.43
F1S1,F1,californica,main,pappus,107,16,JT,0.112,146.22,-20.23
F1S2,F1,californica,main,pappus,106,13,RB,0.033,244.94,5.1
F1S3,F1,californica,main,pappus,107,12,KL,0.035,249.14,1
F1S5,F1,californica,main,pappus,107,16,RB,0.046,180.9,-6.38
F2S1,F2,californica,main,pappus,106,15,SH,0.086,208.38,-5.58
F2S2,F2,californica,main,pappus,107,16,JT,0.084,179.7,-20.68
F2S3,F2,californica,main,pappus,106,13,SH,0.084,297.42,-34.66
F2S4,F2,californica,main,pappus,107,13,RB,0.081,192.38,1.8
F2S5,F2,californica,main,pappus,106,13,RB,0.093,223.76,12.8
F3S1,F3,californica,main,pappus,106,15,RL,0.112,201.28,-2.58
F3S2,F3,californica,main,pappus,106,20,PS,0.108,192.38,-0.98
F3S3,F3,californica,main,pappus,106,12,NS,0.127,169.4,-4.88
F3S4,F3,californica,main,pappus,107,16,RB,0.102,242.16,0.15
F3S5,F3,californica,main,pappus,107,16,RB,0.119,205.63,2.95
F4S1,F4,californica,main,pappus,106,15,RL,0.114,195.83,-10.08
F4S2,F4,californica,main,pappus,106,13,SH,0.131,149.22,-3.78
F4S3,F4,californica,main,pappus,107,13,RB,0.155,176.8,3.1
F4S4,F4,californica,main,pappus,107,12,NS,0.103,224.16,0.5
F4S5,F4,californica,main,pappus,106,13,RB,0.1,212.28,3.2
F5S1,F5,californica,main,pappus,106,15,SH,0.066,194.48,2
