Tube ID,Species,Wild/Grnhs,Orientation,Who,Redo,Date,Pappus_base_midpoint_x_coord_corr,Pappus_base_midpoint_y_coord_corr,Pappus_base_width,Pappus_base_angle_corr,Pappus_tip_midpoint_x_coord_corr,Pappus_tip_midpoint_y_coord_corr,Pappus_tip_width,Pappus_tip_angle_corr,Achene_tip_midpoint_x_coord_corr,Achene_tip_midpoint_y_coord_corr,Achene_tip_width,Achene_tip_angle_corr,Achene_mid_midpoint_width_x_coord_corr,Achene_mid_midpoint_width_y_coord_corr,Achene_mid_width,Achene_mid_width_angle_corr,Achene_length_lin,Achene_twopt_length,Achene_twopt_angle,Achene_max_width_midpoint_x_coord_corr,Achene_max_width_midpoint_y_coord_corr,Achene_max_width_(eyeballed),Achene_max_width_angle_corr,Number_awns,Number_scale_tips,Pappus_perp_max_length,Scales_max_length,Scales_min_length,Awns_max_length,Awns_min_length,New seed/Redo?,Problem with angle?,Weird awns,Other issue?,Notes
F10S1,L. californica,Wild,Front,SH,CLV,10/13/17,3.369,2.829,0.304,12.858,3.064,1.115,0.958,12.362,3.29,4.383,0.234,2.353,0.032,-0.789,0.381,2.406,1.59,1.587,170.105,0.056,-0.608,0.413,7.125,4,0,2.404,0,0,2.476,1.818,no,no,no,no,
F10S1,L. californica,Wild,Side,SH,CLV,10/13/17,3.79,2.869,0.252,-9.462,3.731,1.071,1.23,-9.438,3.948,4.37,0.198,5.618,0.044,-0.789,0.234,4.699,1.595,1.6,172.776,0.003,-0.464,0.253,3.621,4,0,2.463,0,0,2.476,2.36,no,no,no,no,
F10S2,L. californica,Wild,Front,RB,CLV,11/9/17,0,0,0.316,-1.736,-0.171,2.449,1.077,-1.875,3.525,4.519,0.233,-16.928,-0.132,-0.85,0.428,-11.646,1.683,1.687,173.875,-0.015,-0.42,0.492,-11.237,4,0,2.468,0,0,2.531,2.205,no,no,no,no,
F10S2,L. californica,Wild,Side,RB,CLV,11/9/17,0,0,0.251,2.203,-0.032,2.409,0.895,2.266,3.132,4.2,0.167,5.492,0.085,-0.826,0.216,2.564,1.643,1.645,176.059,0.026,-0.162,0.264,2.793,4,0,2.454,0,0,2.475,2.25,no,no,no,no,
F10S3,L. californica,Wild,Front,RB,CLV,11/9/17,0,0,0.289,9.567,-0.225,2.594,1.425,9.399,3.365,4.543,0.226,-6.52,-0.032,-0.831,0.415,-2.203,1.666,1.669,171.047,-0.005,-0.603,0.443,-1.648,4,0,2.56,0,0,2.626,2.415,no,no,no,no,
F10S3,L. californica,Wild,Side,RB,CLV,11/9/17,3.732,3.192,0.248,-0.735,3.506,1.087,1.342,-0.684,3.848,4.768,0.18,5.102,0.046,-0.804,0.197,7.472,1.651,1.641,177.495,0.035,-0.689,0.22,8.366,4,0,2.558,0,0,2.576,2.056,no,no,no,no,
F10S4,L. californica,Wild,Front,SH,CLV,10/27/17,2.715,2.982,0.273,2.021,2.554,0.75,0.757,1.941,3.18,4.526,0.219,18.97,0.197,-0.804,0.379,19.199,1.656,1.656,172.835,0.043,-0.267,0.423,7.394,4,0,2.721,0,0,2.761,2.268,no,no,no,no,
F10S4,L. californica,Wild,Side,SH,CLV,10/27/17,3.011,2.903,0.256,-0.716,3.023,0.227,0.565,-0.326,3.017,4.544,0.171,1.061,-0.017,-0.853,0.233,0,1.715,1.709,177.874,0,-0.135,0.3,0,4,0,2.712,0,0,2.696,2.19,no,no,no,no,
F10S5,L. californica,Wild,Front,SH,CLV,10/16/17,3.251,2.842,0.307,2.386,3.178,1.165,0.832,2.203,3.086,4.28,0.258,-3.576,-0.051,-0.745,0.396,-2.77,1.504,1.504,174.237,-0.007,-0.455,0.435,-4.236,4,0,2.624,0,0,2.583,2.532,no,no,no,no,
F10S5,L. californica,Wild,Side,SH,CLV,10/16/17,3.127,3.112,0.248,0,3.121,0.598,0.765,1.917,3.203,4.558,0.195,1.909,0.036,-0.756,0.255,-1.432,1.498,1.497,178.987,-0.004,-0.19,0.297,-0.616,4,0,2.62,0,0,2.569,2.546,no,no,no,no,
